"Rank","Group/Participant","Score"
"1"," Group 57 (Untitled group)","69.56"
"2"," Group 23 (null)","64.65"
"3"," Group 5 (null)","62.89"
"4"," Group 22 (null)","62.58"
"5"," Group 27 (null)","61.71"
"6"," Group 26 (null)","61.48"
"7"," Group 51 (null)","60"
"8"," Group 2 (null)","59.96"
"9"," Group 33 (null)","59.94"
"10"," Group 12 (null)","59.92"
"11"," Group 7 (null)","59.6"
"12"," Group 47 (null)","59.46"
"13"," Group 4 (null)","59.28"
"14"," Group 20 (null)","59.26"
"15"," Group 35 (null)","58.99"
"16"," Group 41 (null)","58.91"
"17"," Group 54 (Untitled group)","58.78"
"18"," Group 58 (Untitled group)","58.48"
"19"," Group 6 (null)","58.47"
"20"," Group 56 (Untitled group)","58.36"
"21"," Group 38 (null)","58.08"
"22"," Group 19 (null)","57.79"
"23"," Group 49 (null)","57.27"
"24"," Group 29 (null)","56.61"
"25"," Group 43 (null)","55.56"
"26"," Group 55 (Untitled group)","55.49"
"27"," Group 25 (null)","55.05"
"28"," Group 13 (null)","54.38"
"29"," Group 21 (null)","54.17"
"30"," Group 18 (null)","54.16"
"31"," Group 48 (null)","54.02"
"32"," Group 8 (null)","54.01"
"33"," Group 50 (null)","52.45"
"34"," Group 40 (null)","51.93"
"35"," Group 32 (null)","50.51"
"36"," Group 17 (null)","49.76"
"37"," Group 45 (null)","49.54"
"38"," Group 15 (null)","48.22"
"39"," Group 24 (null)","47.59"
"40"," Group 14 (null)","47.49"
"41"," Group 39 (null)","46.98"
"42"," Group 46 (null)","45.78"
"43"," Group 30 (null)","44.83"
"44"," Group 16 (null)","44.02"
"45"," Group 3 (null)","43.58"
"46"," Group 42 (null)","43.56"
"47"," Group 36 (null)","43.03"
"48"," Group 9 (null)","42.84"
"49"," Group 34 (null)","39.85"
"50"," Group 37 (null)","39.85"
"51"," Group 52 (Untitled group)","35.89"
"52"," Group 1 (null)","34.95"
"53"," Group 44 (null)","33.38"
"54"," Group 59 (Untitled group)","30.76"
"55"," Group 10 (null)","27.38"
"56"," Group 0 (Hi! PARIS Team)","4.17"
